genre,id,title,rating,production_countries,budget,revenue,imdb_ids,Plot
War,882569,Guy Ritchie's The Covenant,7.8,"['GB', 'US']",55000000,20000000,tt4873118,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain."
War,1417,Pan's Labyrinth,7.8,"['MX', 'ES', 'US']",19000000,83258226,tt0457430,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks."
War,143,All Quiet on the Western Front,7.8,['US'],1448864,3270000,tt0020629,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
War,28162,A Matter of Life and Death,7.7,['GB'],0,0,tt0038733,"A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl."
War,792,Platoon,7.7,"['GB', 'US']",6000000,138530565,tt0091763,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
War,11902,Underground,7.7,"['YU', 'CZ', 'FR', 'DE']",14000000,0,tt0114787,"Two underground black marketeers, Marko and Blacky, sell weapons to the Communist resistance in wartime Belgrade, living the good life along the way."
War,49046,All Quiet on the Western Front,7.724,['DE'],20000000,0,tt1016150,A young German soldier's terrifying experiences and distress on the western front during World War I.
War,205,Hotel Rwanda,7.7,"['IT', 'ZA', 'GB', 'US']",17500000,38000000,tt0395169,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
War,632,Stalag 17,7.694,['US'],1661530,0,tt0046359,"After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer."
War,8885,Waltz with Bashir,7.7,"['AU', 'BE', 'FI', 'FR', 'DE', 'IL', 'CH', 'US']",1500000,11179372,tt1185616,An Israeli film director interviews fellow veterans of the 1982 invasion of Lebanon to reconstruct his own memories of his term of service in that conflict.
War,238628,Tangerines,7.677,"['EE', 'GE']",0,0,tt2991224,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man, Ivo, has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him..."
War,17835,Threads,7.7,"['AU', 'GB']",420000,0,tt0090163,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization."
War,728118,"Quo Vadis, Aida?",7.6,"['AT', 'BA', 'FR', 'DE', 'NL', 'NO', 'PL', 'RO', 'TR']",4750000,813253,tt8633462,"Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp."
War,966220,Sniper: The White Raven,7.641,['UA'],1000000,881,tt19465630,"After suffering a tragedy at the hand of invading soldiers in Donbas, an Ukrainian physics teacher seeks revenge. He sets his sights on an elite Russian sniper whose elimination could change the tide of the conflict."
War,38251,Mediterraneo,7.637,['IT'],0,4532791,tt0102426,"In WW2, an Italian Army unit of misfits occupies an isolated non-strategic Greek island for the duration of the war."
War,643,Battleship Potemkin,7.6,['SU'],0,45100,tt0015648,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
War,581577,Persian Lessons,7.615,"['RU', 'DE', 'BY']",0,3825668,tt9738784,"A young Jewish man in a concentration camp has his life saved when executioners realize he owns a Persian book. Brought before a camp officer who wants to learn Farsi, Gilles agrees to teach him despite not knowing a word of the l..."
War,597922,The Greatest Beer Run Ever,7.601,['US'],2800000,0,tt10268488,A man's story of leaving New York in 1967 to bring beer to his childhood buddies in the Army while they are fighting in Vietnam.
War,283587,Beasts of No Nation,7.596,"['BR', 'US']",6000000,9077700,tt1365050,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
War,1654,The Dirty Dozen,7.6,"['GB', 'US']",5400000,45300000,tt0061578,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
War,616,The Last Samurai,7.588,"['US', 'JP', 'NZ']",140000000,456800000,tt0325710,"In 19th century Japan, Nathan Algren, a US army captain, is hired by the Japanese emperor to train his army in the modern warfare techniques. Captain Algren finds himself trapped in a struggle between two eras and two worlds."
